,name,price_selloff,memory,hard_drive,price,ratings,status,brand,store
46,Samsung Galaxy A73 A736 5G 128GB Ram 8GB,10249000,128GB,8GB,11990000,0,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
47,OPPO Reno7Z 5G,9389000,0,0,10490000,2,"Kích hoạt điện tử, New 100%",OPPO,Ha Nam Mobile
48,Samsung Galaxy A53 A536 5G 128GB Ram 8GB,8449000,128GB,8GB,9990000,2,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
49,Mi 11 Lite 5G NE 128GB RAM 8GB,8589000,128GB,0,9490000,3,"Kích hoạt điện tử, New 100%",Mi,Ha Nam Mobile
50,Xiaomi POCO F3 5G 128GB Ram 6GB,8189000,128GB,6GB,8990000,2,"Kích hoạt điện tử, New 100%",Xiaomi,Ha Nam Mobile
51,Xiaomi Redmi Note 11 Pro 5G 8GB RAM 128,8189000,8GB,0,8990000,1,"Kích hoạt điện tử, New 100%",Xiaomi,Ha Nam Mobile
52,OPPO Reno7 4G,7999000,0,0,8990000,0,"Kích hoạt điện tử, New 100%",OPPO,Ha Nam Mobile
53,Samsung Galaxy A33 A336 5G 128GB Ram 6GB,6799000,128GB,6GB,0,0,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
54,Samsung Galaxy A33 A336 5G 128GB Ram 6GB (New - BH12T),7299000,128GB,6GB,0,0,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
55,Xiaomi POCO X4 Pro 5G 128GB RAM 6GB,6899000,128GB,0,7490000,0,"Kích hoạt điện tử, New 100%",Xiaomi,Ha Nam Mobile
56,Xiaomi Redmi Note 11 Pro 8GB RAM 128GB,6789000,8GB,0,7490000,1,"Kích hoạt điện tử, New 100%",Xiaomi,Ha Nam Mobile
57,OPPO A95 4G 128GB Ram 8GB,6189000,128GB,8GB,6990000,5,"Kích hoạt điện tử, New 100%",OPPO,Ha Nam Mobile
58,Xiaomi Redmi Note 11S 128GB Ram 8GB,5839000,128GB,8GB,6690000,0,"Kích hoạt điện tử, New 100%",Xiaomi,Ha Nam Mobile
